Using MPS device for macOS
Using device: mps
Episode 164/3000 | Total reward: 8.00 | Avg loss: 1.1352 | Epsilon: 0.849 | LOSE | MEMORY_SIZE: 362 | SEED: 597
Episode 165/3000 | Total reward: 0.00 | Avg loss: 1.1291 | Epsilon: 0.848 | LOSE | MEMORY_SIZE: 363 | SEED: 597
Episode 166/3000 | Total reward: 0.00 | Avg loss: 1.5945 | Epsilon: 0.847 | LOSE | MEMORY_SIZE: 364 | SEED: 597
Episode 167/3000 | Total reward: 24.00 | Avg loss: 1.1092 | Epsilon: 0.846 | LOSE | MEMORY_SIZE: 371 | SEED: 597
Episode 168/3000 | Total reward: 0.00 | Avg loss: 0.7027 | Epsilon: 0.845 | LOSE | MEMORY_SIZE: 372 | SEED: 597
Episode 169/3000 | Total reward: 17.00 | Avg loss: 1.7079 | Epsilon: 0.844 | LOSE | MEMORY_SIZE: 376 | SEED: 597
Episode 170/3000 | Total reward: 28.00 | Avg loss: 1.8038 | Epsilon: 0.844 | LOSE | MEMORY_SIZE: 389 | SEED: 597
Episode 171/3000 | Total reward: 17.00 | Avg loss: 1.6348 | Epsilon: 0.843 | LOSE | MEMORY_SIZE: 393 | SEED: 597
Episode 172/3000 | Total reward: 21.00 | Avg loss: 1.5402 | Epsilon: 0.842 | LOSE | MEMORY_SIZE: 403 | SEED: 597
Episode 173/3000 | Total reward: 9.00 | Avg loss: 1.5293 | Epsilon: 0.841 | LOSE | MEMORY_SIZE: 405 | SEED: 597
Episode 174/3000 | Total reward: 17.00 | Avg loss: 1.9892 | Epsilon: 0.840 | LOSE | MEMORY_SIZE: 409 | SEED: 597
Episode 175/3000 | Total reward: 9.00 | Avg loss: 1.5137 | Epsilon: 0.839 | LOSE | MEMORY_SIZE: 411 | SEED: 597
Episode 176/3000 | Total reward: 0.00 | Avg loss: 3.7684 | Epsilon: 0.839 | LOSE | MEMORY_SIZE: 412 | SEED: 597
Episode 177/3000 | Total reward: 7.00 | Avg loss: 0.8934 | Epsilon: 0.838 | LOSE | MEMORY_SIZE: 416 | SEED: 597
Episode 178/3000 | Total reward: 26.00 | Avg loss: 1.3048 | Epsilon: 0.837 | LOSE | MEMORY_SIZE: 421 | SEED: 597
Episode 179/3000 | Total reward: 0.00 | Avg loss: 0.8025 | Epsilon: 0.836 | LOSE | MEMORY_SIZE: 422 | SEED: 597
Episode 180/3000 | Total reward: 17.00 | Avg loss: 1.2396 | Epsilon: 0.835 | LOSE | MEMORY_SIZE: 426 | SEED: 597
Episode 181/3000 | Total reward: 0.00 | Avg loss: 1.1718 | Epsilon: 0.834 | LOSE | MEMORY_SIZE: 427 | SEED: 597
Episode 182/3000 | Total reward: 0.00 | Avg loss: 1.3187 | Epsilon: 0.834 | LOSE | MEMORY_SIZE: 428 | SEED: 597
Episode 183/3000 | Total reward: 0.00 | Avg loss: 2.5788 | Epsilon: 0.833 | LOSE | MEMORY_SIZE: 429 | SEED: 597
Episode 184/3000 | Total reward: 0.00 | Avg loss: 1.6225 | Epsilon: 0.832 | LOSE | MEMORY_SIZE: 430 | SEED: 597
Episode 185/3000 | Total reward: 8.00 | Avg loss: 0.9739 | Epsilon: 0.831 | LOSE | MEMORY_SIZE: 433 | SEED: 597
Episode 186/3000 | Total reward: 0.00 | Avg loss: 0.5280 | Epsilon: 0.830 | LOSE | MEMORY_SIZE: 434 | SEED: 597
